NAMA MAKANAN,Kategori,BAHAN,RESEP,KALORI (kkal),PROTEIN (g),LEMAK (g),KOLESTEROL (mg),KARBOHIDRAT (g),SERAT (g),GULA (g),NATRIUM (mg),KALIUM (mg)
ayam kalkun kecap,Meal,80grdaging ayam/kalkun; wortel; brokoli; garam 1/2 sdt; kecap kedelai; minyak,Panaskan minyak dan tumis daging hingga berubah warna; masukkan wortel dan brokoli lalu aduk rata; bumbui dengan garam dan kecap kedelai; masak hingga sayuran matang namun masih renyah; angkat dan sajikan,207.93,28.45,9.57,81.0,0.0,0.0,0.0,289.0,423.0
ayam kukus jahe,Meal,dada ayam; jahe; bawang putih; kecap asin; garam,"Cuci dan potong dada ayam; lumuri dengan jahe parut, bawang putih, dan kecap asin; kukus selama 20-25 menit hingga matang; sajikan",175.0,23.0,8.0,75.0,4.0,0.0,2.0,480.0,320.0
ayam kungpao,Meal,dada ayam; cabai kering; paprika; kecap asin; minyak,Potong ayam dan paprika sesuai selera; panaskan minyak dan tumis cabai kering hingga harum; masukkan ayam dan masak hingga berubah warna; tambahkan paprika dan kecap asin; aduk hingga saus meresap dan ayam matang; angkat dan sajikan,199.09,25.05,8.53,68.0,5.29,1.4,0.29,288.0,371.0
ayam lada hitam,Meal,dada ayam; paprika; bawang bombay; daun bawang; 1 sdm minyak goreng; lada hitam bubuk; saus teriyaki lada hitam; sejumput garam ,Panaskan minyak dan pan-fry ayam hingga matang lalu sisihkan; tumis bawang bombay dan paprika hingga harum; masukkan ayam kembali; tambahkan saus teriyaki dan lada; aduk hingga bumbu merata; taburi daun bawang; sajikan,195.0,20.0,9.0,70.0,10.0,1.5,5.0,480.0,380.0
ayam penyet,Meal,ayam goreng; cabai; tomat; bawang putih,"Goreng ayam hingga matang dan kecokelatan; ulek cabai, tomat, dan bawang putih hingga halus; panaskan sedikit minyak lalu siramkan ke sambal; letakkan ayam di atas sambal dan penyet hingga rata; sajikan",259.08,19.0,17.0,85.0,5.0,1.0,1.0,540.0,300.0
ayam rica rica,Meal,100gr ayam; 35gr cabai merah; 15gr kemangi; 10gr bawang putih; 3gr jahe; 9gr kemiri; 1/2 sdt gula pasir; sejumput garam; 15gr bawang merah; 5gr lengkuas; 2 sdm minyak goreng,"Cuci ayam lalu lumuri garam, diamkan 30 menit; kukus ayam hingga matang; haluskan cabai, bawang merah, bawang putih, jahe, kemiri, dan lengkuas; panaskan minyak dan tumis bumbu halus hingga harum; tambahkan gula dan sedikit air; masukkan ayam dan masak hingga bumbu meresap; masukkan kemangi, aduk sebentar; sajikan",185.0,18.0,9.0,60.0,5.0,1.0,1.0,480.0,350.0
ayam sambal matah,Meal,100gr ayam goreng; bawang merah; cabai; serai; minyak,"Goreng ayam hingga matang dan kecokelatan; iris tipis bawang merah, cabai, dan serai; campur semua bahan sambal matah; siramkan minyak panas ke atas sambal; peras jeruk limau, aduk rata; sajikan sambal matah di atas ayam goreng",220.0,18.0,14.0,85.0,3.0,0.5,1.0,480.0,280.0
ayam saos mentega,Meal,100gr dada ayam; 1 sdm madu; 1 sdm saus tiram; 1 sdt margarin; 2 siung bawang putih; sejumput lada; sejumput garam; 1 sdt maizena,"Cuci dan potong ayam; marinasi ayam dengan bawang putih halus, lada, garam, saus tiram, madu, dan maizena selama ±15 menit; panaskan minyak dan tumis bawang bombay; masukkan ayam beserta bumbu marinasi; masak hingga saus mengental dan ayam matang; sajikan",210.0,22.0,9.0,75.0,15.0,0.5,8.0,480.0,320.0
ayam saos tiram,Meal,100gr dada ayam; 2 sdm saus tiram; 1 siung bawang putih; 1 sdm kecap manis; 1 sdm minyak goreng; sejumput lada hitam; sejumput garam; 1 sedang bawang bombay; cabai merah secukupnya,"Potong ayam dan bawang bombay; rebus ayam sebentar lalu tiriskan; panaskan minyak dan tumis bawang bombay dan bawang putih hingga harum; masukkan saus tiram, kecap, dan bumbu lain; masukkan ayam dan sedikit air; masak hingga bumbu meresap; sajikan",185.0,20.0,8.0,65.0,8.0,1.0,4.0,580.0,380.0
ayam suwir balado,Meal, 100gr dada ayam rebus; 5 sdm cabai merah; 3 siung bawang putih; 5 bawang merah; 1 tomat; 10gr kemiri; sejumput garam; 1 sdm minyak goreng ,"Rebus ayam hingga matang lalu suwir; haluskan cabai, bawang merah, bawang putih, tomat, dan kemiri; tumis bumbu halus hingga harum; tambahkan garam; masukkan ayam suwir dan aduk hingga rata; koreksi rasa; sajikan",185.0,18.0,8.0,60.0,10.0,2.0,3.0,520.0,380.0
ayam suwir kecap,Meal,100gramdada ayam; 1 sdm cabai merah atau rawit; 1 sdm minyak goreng; 1 sdm kecap manis; 10 g kaldu jamur; 30grambawang bombay,Rebus atau kukus ayam hingga matang lalu suwir; panaskan minyak dan tumis bawang bombay serta cabai halus; tambahkan kecap manis dan kaldu jamur; masukkan ayam suwir dan aduk hingga rata; sajikan,180.0,20.0,8.0,60.0,10.0,0.5,5.0,480.0,320.0
ayam suwir kemangi,Meal,100gramdada ayam; 1utuh sedangtomat; 5gramcabai merah atau rawit; 3gramkunyit; 40gramkemangi; 1 siung bawang putih; 28 g bawang merah; 5 ml olive oil,"Rebus ayam hingga matang lalu suwir; panaskan olive oil dan tumis bawang merah, bawang putih, dan tomat; tambahkan sedikit air; masukkan ayam, kunyit, dan cabai; masak hingga bumbu meresap; masukkan kemangi dan aduk sebentar; sajikan",178.55,18.71,8.19,47.16,8.61,3.18,2.95,230.68,539.2
ayam tempe penyet,Meal,100gr dada ayam; 70gr tempe; 15gr cabai merah; 3 siung bawang putih; 3 bawang merah; sejumput garam; 1 sdt terasi; minyak goreng,"Goreng ayam dan tempe hingga matang; haluskan cabai, bawang merah, bawang putih, dan terasi; panaskan sedikit minyak, tumis bumbu sebentar; letakkan ayam dan tempe di atas sambal dan penyet; sajikan",220.0,22.0,10.0,55.0,12.0,2.0,2.0,480.0,420.0
ayam teriyaki,Meal, 100gr dada ayam; 1 sdm kecap manis; 1 sdm saus teriyaki; 20gr bawang bombay; sejumput garam; 1 sdt minyak goreng,"Panaskan wajan dan tumis bawang bombay hingga harum; tambahkan ayam dan masak hingga berubah warna; masukkan kecap manis, saus teriyaki, dan garam; aduk hingga saus mengental dan ayam matang; sajikan",175.0,18.0,6.0,55.0,12.0,0.5,8.0,480.0,280.0
ayam udang kribo,Meal,ayam; udang; tepung; bawang putih; minyak,Goreng campuran ayam dan udang berbumbu hingga krispi,179.73,15.86,8.59,42.0,9.28,1.6,2.12,616.0,301.0
babi panggang tanpa kulit,Meal,daging babi; bawang putih; garam; minyak,Haluskan bawang putih; lumuri daging dengan bumbu dan garam; panggang daging hingga matang dan kecokelatan,242.0,27.0,14.0,80.0,0.0,0.0,0.0,480.0,340.0
bagel,Snack,"0,4 sdm,kering ragi; sejumput garam; 190 ml air; 10grammadu; 10gramgula pasir; 1 sdm minyak goreng; 300 g tepung terigu cakra kembar; 50 g tepung terigu kunci biru","Campur semua bahan kecuali minyak dan uleni selama 2 menit, | Tambahkan minyak lalu uleni kembali adonan hingga kalis, Biarkan mengembang selama 1 jam, | Bagi adonan menjadi 6 bagian, diamkan selama 15 menit, | Bentuk menjadi bagel dan diamkan selama 40 menit lagi, | Rebus air dalam panci, tambahkan gula merah, saat mendidih tambahkan campuran bagel dan didihkan setiap sisi selama 20 detik, | Taruh di atas loyang, Panggang dalam oven dengan suhu 180°C selama 20 menit,",233.03,7.06,2.29,0.0,46.76,0.2,3.03,394.0,17.0
bagel panggang,Snack,1 buah bagel roti,Belah bagel menjadi dua; panggang di oven atau toaster hingga hangat dan keemasan,250.0,9.0,1.5,0.0,48.0,2.0,5.0,450.0,100.0
bakmi goreng shirataki,Meal,"25gramdada ayam rebus (kulit tidak dimakan); 1/4 mangkok, segar, potongan batang brokoli dimasak (dari segar); 1 sdm cabai merah atau rawit; 1 siung bawang putih; 25 g mie kering; 3 g lada putih bubuk; 1 sdm kecap manis","Rebus mie ,brokoli, dada ayam, | Bawang putih dan cabe cincang, | Tumis baput cabe lada dengan air, | Masuk mie brokoli dada ayam, | Koreksi rasa dg tambahkan himsalt dan kecap,",140.06,8.94,2.77,19.0,23.8,3.8,1.12,255.0,279.0
bakpia kukus brownies coklat (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,179.97,4.0,12.0,10.0,14.0,0.0,10.0,280.0,75.0
bakpia kukus brownies keju (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,99.9,1.0,4.5,20.0,13.0,1.0,6.0,40.0,0.0
bakpia kukus chocoberry (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,179.97,4.0,11.0,10.0,15.0,2.0,8.0,150.0,40.0
bakpia kukus keju (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,3.0,11.0,10.0,22.0,0.0,9.0,80.0,80.0
bakpia kukus original (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,200.05,3.0,11.0,10.0,22.0,1.0,13.0,80.0,0.0
bakpia kukus original cokelat (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,169.93,3.0,8.0,10.0,22.0,0.0,9.0,80.0,0.0
bakpia kukus original kacang hijau (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,190.01,2.0,10.0,25.0,21.0,1.0,10.0,70.0,0.0
bakpia kukus original stroberi (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,210.09,3.0,11.0,0.0,25.0,3.0,15.0,55.0,0.0
bakpia kukus pandan coklat (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,169.93,3.0,8.0,10.0,21.0,0.0,11.0,40.0,0.0
bakpia kukus rasa klepon (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,130.02,2.0,7.0,0.0,13.0,1.0,7.0,80.0,0.0
bakpia kukus red velvet choco lava (tugu jogja),Snack,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,242.0,4.0,10.0,20.0,34.0,1.0,15.0,180.0,80.0
bakso,Meal,"daging sapi giling 70 g; tepung tapioka 20 g; bawang putih halus 5 g; garam 0,2 g; merica 1 g; air es 30 ml","Campurkan daging sapi dengan bawang putih, garam, dan merica, tambahkan tepung tapioka serta air es hingga adonan kenyal, bentuk bulatan lalu rebus hingga bakso mengapung dan matang",57.12,3.22,3.77,23.0,2.39,0.2,0.24,162.0,60.0
bakso ayam oat,Meal, 100gr dada ayam cincang; 1 telur; 25gr oatmeal; 10gr tepung tapioka; 2 siung bawang putih; 5gr daun bawang; sejumput garam; sejumput lada putih; 1 sdt saus tiram,Campur semua bahan dalam wadah dan aduk hingga rata; bentuk adonan menjadi bulatan; rebus dalam air mendidih hingga bakso mengapung dan matang; sajikan,160.0,16.0,5.0,60.0,12.0,1.0,0.5,380.0,180.0
bakso dan sup telur,Meal,50gr bakso sapi; 1 butir telur ayam; 100gr tahu sutra; 50gr fish roll; 250ml air; daun bawang; bawang putih bubuk; sejumput lada; sejumput garam,"Didihkan air; masukkan bakso dan fish roll; masukkan telur dan aduk perlahan; tambahkan tahu, bawang putih bubuk, lada, dan garam; masak hingga semua bahan matang; taburi daun bawang; sajikan",120.0,10.0,6.0,85.0,8.0,0.5,1.0,420.0,180.0
bakso di soup,Meal,100gr daging sapi giling; 50gr tepung tapioka; 100gr tahu kukus; 100gr pakcoy; 100gr kecambah; 2 siung bawang putih; 20gr daun bawang; sejumput lada hitam; sejumput garam; 5gr kaldu jamur,"Campurkan daging giling, tapioka, bawang putih, lada, dan garam; aduk hingga rata dan bentuk bulatan; rebus dalam air mendidih hingga bakso mengapung; tumis bawang putih dan daun bawang; masukkan ke kuah; rebus pakcoy dan kecambah terpisah; sajikan bersama bakso dan sayuran",160.0,12.0,6.0,30.0,15.0,1.0,0.5,380.0,220.0
bakso goreng,Snack,bakso siap olah 100 g; minyak goreng 10 ml,"Panaskan minyak, goreng bakso hingga mengembang dan berwarna kecokelatan, angkat dan tiriskan sebelum disajikan",119.98,7.0,2.0,0.0,18.0,0.0,0.0,480.0,0.0
bakso kentang fettuccine,Meal,"10gramcabai merah atau rawit; 1 siung bawang putih; 50gramkentang (daging, dengan garam, direbus); 1 kecil bawang merah; 2 kecil bakso daging sapi; 30 g fettuccine; 45 g bolognese sauce","Rebus kentang dan fettuccine selama 5-10 menit, | Tumis bakso, bawang putih, bawang merah, cabai yg sudah di potong, | Masukan bolognese sauce dan tumis hingga harum bersama bakso,",185.0,8.0,5.0,18.0,28.0,2.0,4.0,480.0,280.0
bakso sayur,Meal,100gr dada ayam; 1 telur; 100gr bihun; 100gr wortel; 100gr jamur kuping; 10gr tepung tapioka; 2 siung bawang putih; daun bawang; sejumput garam; sejumput lada putih; kaldu jamur,"Haluskan dada ayam bersama bawang putih, telur, tapioka, garam, lada; potong wortel, jamur, dan daun bawang; campur semua bahan dan bentuk bulatan; rebus hingga bakso mengapung dan matang; sajikan dengan kuah sup",120.0,10.0,3.0,45.0,12.0,1.0,1.0,380.0,180.0
bakso tempe,Meal,100gr tempe kukus; 1 telur rebus; 50gr tepung tapioka; 2 siung bawang putih; sejumput garam; sejumput lada hitam; kaldu jamur,Kukus tempe 15 menit; hancurkan tempe dan campur semua bahan hingga kalis; bentuk bulatan dan rebus 15 menit hingga mengambang; sajikan,155.0,9.0,6.0,45.0,18.0,2.0,1.0,320.0,180.0
bakso udang,Meal,70gr udang cincang; 20gr tepung tapioka; 5gr bawang putih halus; sejumput garam; sejumput merica; 30ml air,"Campurkan udang dengan bawang putih, garam, dan merica, tambahkan tepung tapioka dan air hingga tercampur rata, bentuk bulatan lalu rebus sampai mengapung dan matang",95.0,12.0,1.5,85.0,8.0,0.3,0.5,280.0,180.0
bakwan,Snack,"tepung terigu 50 g; wortel iris 20 g; kol iris 20 g; bawang putih 5 g; garam 0,2 g; air 60 ml; minyak goreng 15 ml","Campurkan tepung, bawang putih, dan garam, masukkan wortel dan kol lalu tambahkan air, goreng adonan dalam minyak panas hingga bakwan renyah dan keemasan",58.08,1.33,1.9,0.0,9.93,1.4,4.41,190.0,162.0
bakwan jagung labu,Meal,100gr labu; 1 gelas jagung pipil; 1 telur; 1 sdt bawang putih bubuk; 1 sdt oregano; sejumput lada; 100gr tepung terigu; 1 sdm minyak zaitun,Potong dadu labu dan rebus hingga empuk; blender bersama telur dan bumbu; masukkan tepung dan jagung; aduk rata; masak dalam wajan dengan minyak hingga keemasan,120.0,3.5,5.0,35.0,16.0,1.5,2.0,180.0,180.0
bakwan sayur ,Snack,30gramkecambah; 22gramwortel; 3gramseledri; 7gramdaun bawang; 55 ml air; 1 sdm extra virgin olive oil; 40 g tepung bakwan,"Potong2 wortel, seledri n daun bawang, | Masukan kecambah, wortel, air dan tepung bakwan, Aduk rata dan bumbui dengan garam dan merica, | Beri teflon minyak zaitun, Panaskan minyak (jangan sampai terlalu panas), | Goreng hingga matang,",216.06,4.4,6.72,0.0,34.6,1.4,1.87,21.0,123.0
banana bread oats,Snack,61gr telur; 1 sdt ekstrak vanila; 157gr pisang; 1 sdt baking soda; 11gr kakao bubuk tanpa gula; 6gr unsalted butter; 49gr oat; 200ml susu UHT low fat; 6gr choco chips," Haluskan pisang; tambahkan oat, coklat bubuk, vanilla, dan baking soda lalu aduk; masukkan susu, telur, dan mentega cair; tuang ke cetakan dan taburi choco chips; panggang 180°C selama 20 menit",180.0,6.0,7.0,75.0,25.0,3.0,10.0,180.0,280.0
banana oat cake,Snack,58gramtelur; 69grampisang; 20gramkacang almond; 1 lembar singles; 16 g selai kacang; 2 g classic; 52 ml low fat high calcium rasa coklat (200ml); 50 g instant whole oats,"Kocok telur menggunakan ballon wishk sampai berbusa, masukan kopi, selai,dan pisang yg sudah dilumatkan terlebih dahulu, Kocok sebentar, | Masukan oat (me: diblender) dan almond cacah aduk rata, Tuang susu aduk kembali, | Tuang ke loyang yg sdh dioles minyak, ratakan, beri topping keju slice, | Panggang di oven yg sdh dipanaskan selama 30m,",322.66,14.4,16.01,124.0,32.2,5.6,8.01,272.0,282.0
banana oat cookies,Snack,3 kurma; 10gramkismis; 125grampisang; 60 g havermout oatmeal instan; 6 g choco chips,"Lumatkan pisang sampai halus dengan garpu, | Tambahkan oat dan bahan lainnya, campur sampai menyatu, | Ambil sesendok campuran dan letakkan di airfryer / loyang, tekan ratakan dengan garpu, | Panggang kue dengan suhu 160°C selama 30 menit, | Angkat dan dinginkan, Siap disajikan,",120.22,2.57,2.06,0.0,25.29,3.6,9.91,0.0,172.0
banana oatmeal pancake,Snack,1 besar putih telur; 2 sdt minyak zaitun; 1sedangpisang; 50 ml air; 70 g oatmeal,"Masukan pisang, oatmeal, dan air ke dalam blender, | Blender hingga halus, kemudian pindah ke dalam mangkuk dan masukan putih telur kemudian di kocok dengan menggunakan sendok hingga tercampur rata, | Masak dengan menggunakan teflon dan beri minyak zaitun, masak hingga matang,",120.46,3.22,4.11,0.0,18.8,2.3,3.66,14.0,119.0
banana oats coklat,Snack,61gramtelur; 1 sdt ekstrak vanila; 157grampisang; 1 sdt baking soda; 11gramkakao bubuk (tanpa gula); 6 g unsalted butter; 49 g oat; 200 ml susu uht low fat; 6 g choco chips,"Haluskan pisang, | Tambahkan oat, coklat bubuk, vanilla, dan baking soda, lalu aduk, | Setelah adonan tercampur rata, masukkan susu, telur dan mentega cair, | Tuang ke dalam cetakan yang dialasi kertas roti dan taburi choco chips, | Panggang dengan suhu 180°C selama 20 menit,",314.49,12.27,10.7,140.0,45.52,6.4,11.6,728.0,584.0
Basreng,Snack,bakso; minyak goreng; bumbu cabai; garam ,Iris bakso tipis-tipis; goreng dalam minyak panas hingga kering dan renyah; tiriskan; taburi bumbu cabai dan garam; sajikan,320.0,12.0,15.0,45.0,38.0,1.0,2.0,850.0,120.0
bawang merah goreng,Snack,50gr bawang merah iris tipis; 20ml minyak goreng; sejumput garam,"Kupas dan iris bawang merah lalu goreng dalam minyak panas hingga kering dan keemasan, tiriskan sebelum disajikan",490.0,5.0,35.0,0.0,46.0,4.0,8.0,291.0,301.0
bayam rebus,Meal,100gr bayam; 300ml air,Rebus bayam dalam air mendidih hingga layu dan matang lalu tiriskan sebelum disajikan,23.0,2.9,0.4,0.0,3.6,2.2,0.4,79.0,466.0
bayam tumis tahu,Meal,150gr bayam; 230gr tahu; 1 telur; 5gr udang rebon; 1 sdm saus tiram; 1 sdm minyak goreng; kaldu jamur,"Tumis udang rebon dengan minyak; masukkan telur dan orak-arik; tambahkan tahu yang sudah dihancurkan; masukkan bayam, saus tiram, dan kaldu jamur; masak hingga bayam matang; sajikan",120.0,9.0,7.0,85.0,5.0,2.0,1.0,420.0,380.0
bebek bakar,Meal,100gr daging bebek; 10gr bawang putih; 3gr ketumbar; sejumput garam; 10ml minyak,"Olesi daging bebek dengan bawang putih, ketumbar, dan garam, panggang hingga matang dan permukaan kecokelatan",230.0,22.0,14.0,85.0,0.0,0.0,0.0,380.0,280.0
Bebek Goreng,Meal,"100gr daging bebek; bumbu rempah (bawang putih, ketumbar, kunyit, garam); minyak goreng",umuri bebek dengan bumbu halus; goreng dalam minyak panas hingga matang dan kecokelatan; tiriskan,280.0,20.0,18.0,90.0,4.0,0.0,1.0,320.0,230.0
beef & teriyaki chicken combo (large),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,280.0,18.0,10.0,55.0,28.0,2.0,5.0,320.0,230.0
beef bowl (large) (yoshinoya),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,280.0,30.0,27.0,70.0,81.0,3.0,5.0,680.0,280.0
beef bowl (regular) (yoshinoya),Meal,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,tidak tersedia / processed food / processed food / processed food / processed food / processed food / processed food / processed food,267.93,13.0,12.0,0.0,26.0,0.0,7.0,656.0,0.0
